file,cluster,n_person,n_omega,status
cap_000000,0,0,9,todo
cap_000001,0,0,9,todo
cap_000002,0,0,9,todo
cap_000003,1,0,9,todo
cap_000004,1,0,9,todo
cap_000005,1,0,9,todo
cap_000006,1,0,9,todo
cap_000007,1,0,9,todo
cap_000008,2,0,9,todo
cap_000009,2,0,9,todo
cap_000010,2,0,9,todo
cap_000011,2,0,9,todo
cap_000012,3,0,9,todo
cap_000013,3,0,9,todo
cap_000014,4,0,10,todo
cap_000015,4,0,10,todo
cap_000016,4,0,9,todo
cap_000017,5,0,9,todo
cap_000018,5,0,9,todo
cap_000019,5,0,10,todo
cap_000020,5,0,10,todo
cap_000021,5,0,10,todo
cap_000022,6,0,8,todo
cap_000023,6,0,7,todo
cap_000024,6,0,9,todo
cap_000025,6,0,9,todo
cap_000026,7,0,8,todo
cap_000027,7,0,9,todo
cap_000028,7,0,9,todo
cap_000029,7,0,9,todo
cap_000030,7,0,9,todo
cap_000031,8,0,8,todo
cap_000032,8,0,8,todo
cap_000033,8,0,9,todo
cap_000034,8,0,9,todo
cap_000035,8,0,9,todo
cap_000036,9,0,9,todo
cap_000037,9,0,9,todo
cap_000038,9,0,9,todo
cap_000039,10,0,8,todo
cap_000040,10,0,7,todo
cap_000041,10,0,7,todo
cap_000042,11,0,8,todo
cap_000043,11,0,9,todo
cap_000044,12,0,8,todo
cap_000045,12,0,8,todo
cap_000046,12,0,8,todo
cap_000047,12,0,8,todo
cap_000048,13,0,9,todo
cap_000049,13,0,9,todo
cap_000050,13,0,7,todo
cap_000051,13,0,9,todo
cap_000052,13,0,8,todo
cap_000053,14,0,9,todo
cap_000054,14,0,8,todo
cap_000055,14,0,8,todo
cap_000056,14,0,8,todo
cap_000057,15,0,8,todo
cap_000058,16,0,8,todo
cap_000059,16,0,8,todo
cap_000060,16,0,8,todo
cap_000061,16,0,7,todo
cap_000062,17,0,8,todo
cap_000063,18,0,8,todo
cap_000064,18,0,9,todo
cap_000065,19,0,9,todo
cap_000066,19,0,8,todo
cap_000067,20,0,7,todo
cap_000068,21,0,10,todo
cap_000069,21,0,9,todo
cap_000070,22,0,10,todo
