file,capture,orig_file
cap_000000,capture_20260911_150401,cap_000000
cap_000001,capture_20260911_150401,cap_000001
cap_000002,capture_20260911_150401,cap_000002
cap_000003,capture_20260911_150401,cap_000003
cap_000004,capture_20260911_150401,cap_000004
cap_000005,capture_20260911_150401,cap_000005
cap_000006,capture_20260911_150401,cap_000006
cap_000007,capture_20260911_150401,cap_000007
cap_000008,capture_20260911_150401,cap_000008
cap_000009,capture_20260911_150401,cap_000009
cap_000010,capture_20260911_150401,cap_000010
cap_000011,capture_20260911_150401,cap_000011
cap_000012,capture_20260911_150401,cap_000012
cap_000013,capture_20260911_150401,cap_000013
cap_000014,capture_20260911_150401,cap_000014
cap_000015,capture_20260911_150401,cap_000015
cap_000016,capture_20260911_150401,cap_000016
cap_000017,capture_20260911_150401,cap_000017
cap_000018,capture_20260911_150401,cap_000018
cap_000019,capture_20260911_150401,cap_000019
cap_000020,capture_20260911_150401,cap_000020
cap_000021,capture_20260911_150401,cap_000021
cap_000022,capture_20260911_150401,cap_000022
cap_000023,capture_20260911_150401,cap_000023
cap_000024,capture_20260911_150401,cap_000024
cap_000025,capture_20260911_150401,cap_000025
cap_000026,capture_20260911_150401,cap_000026
cap_000027,capture_20260911_150401,cap_000027
cap_000028,capture_20260911_150401,cap_000028
cap_000029,capture_20260911_150401,cap_000029
cap_000030,capture_20260911_150401,cap_000030
cap_000031,capture_20260911_150401,cap_000031
cap_000032,capture_20260911_150401,cap_000032
cap_000033,capture_20260911_150401,cap_000033
cap_000034,capture_20260911_150401,cap_000034
cap_000035,capture_20260911_150401,cap_000035
cap_000036,capture_20260911_150401,cap_000036
cap_000037,capture_20260911_150401,cap_000037
cap_000038,capture_20260911_150401,cap_000038
cap_000039,capture_20260911_150401,cap_000039
cap_000040,capture_20260911_150401,cap_000040
cap_000041,capture_20260911_150401,cap_000041
cap_000042,capture_20260911_150401,cap_000042
cap_000043,capture_20260911_150401,cap_000043
cap_000044,capture_20260911_150401,cap_000044
cap_000045,capture_20260911_150401,cap_000045
cap_000046,capture_20260911_150401,cap_000046
cap_000047,capture_20260911_150401,cap_000047
cap_000048,capture_20260911_150401,cap_000048
cap_000049,capture_20260911_150401,cap_000049
cap_000050,capture_20260911_150401,cap_000050
cap_000051,capture_20260911_150401,cap_000051
cap_000052,capture_20260911_150401,cap_000052
cap_000053,capture_20260911_150401,cap_000053
cap_000054,capture_20260911_150401,cap_000054
cap_000055,capture_20260911_150401,cap_000055
cap_000056,capture_20260911_150401,cap_000056
