file,cluster,n_person,n_omega,status
cap_000000,0,0,3,todo
cap_000001,0,0,3,todo
cap_000002,0,0,3,todo
cap_000003,0,0,3,todo
cap_000004,0,0,3,todo
cap_000005,0,0,3,todo
cap_000006,0,0,3,todo
cap_000007,1,0,3,todo
cap_000008,1,0,3,todo
cap_000009,1,0,3,todo
cap_000010,1,0,3,todo
cap_000011,1,0,3,todo
cap_000012,1,0,3,todo
cap_000013,1,0,3,todo
cap_000014,1,0,3,todo
cap_000015,2,0,3,todo
cap_000016,2,0,3,todo
cap_000017,2,0,3,todo
cap_000018,2,0,3,todo
cap_000019,3,0,3,todo
cap_000020,3,0,3,todo
cap_000021,4,0,3,todo
cap_000022,4,0,3,todo
cap_000023,4,0,3,todo
cap_000024,4,0,3,todo
cap_000025,4,0,3,todo
cap_000026,4,0,3,todo
cap_000027,5,0,3,todo
cap_000028,5,0,3,todo
cap_000029,5,0,3,todo
cap_000030,5,0,3,todo
cap_000031,5,0,3,todo
cap_000032,5,0,3,todo
cap_000033,5,0,3,todo
cap_000034,5,0,3,todo
cap_000035,6,0,3,todo
cap_000036,6,0,3,todo
cap_000037,6,0,3,todo
cap_000038,7,0,4,todo
cap_000039,7,0,3,todo
cap_000040,7,0,3,todo
cap_000041,7,0,3,todo
cap_000042,8,0,4,todo
cap_000043,8,0,3,todo
cap_000044,8,0,3,todo
cap_000045,8,0,3,todo
cap_000046,9,0,3,todo
cap_000047,9,0,3,todo
cap_000048,9,0,3,todo
cap_000049,9,0,3,todo
cap_000050,9,0,3,todo
cap_000051,9,0,3,todo
cap_000052,10,0,4,todo
cap_000053,10,0,4,todo
cap_000054,11,0,4,todo
cap_000055,12,0,3,todo
cap_000056,13,0,4,todo
cap_000057,14,0,4,todo
cap_000058,15,0,4,todo
cap_000059,15,0,4,todo
cap_000060,16,0,3,todo
cap_000061,17,0,4,todo
cap_000062,17,0,4,todo
cap_000063,18,0,4,todo
cap_000064,19,0,4,todo
cap_000065,20,0,4,todo
cap_000066,21,0,4,todo
cap_000067,22,0,4,todo
cap_000068,23,0,4,todo
cap_000069,24,0,4,todo
cap_000070,25,0,4,todo
cap_000071,26,0,4,todo
cap_000072,27,0,4,todo
cap_000073,28,0,4,todo
cap_000074,29,0,4,todo
cap_000075,29,0,4,todo
cap_000076,29,0,4,todo
cap_000077,30,0,4,todo
cap_000078,30,0,4,todo
cap_000079,31,0,4,todo
cap_000080,31,0,4,todo
cap_000081,32,0,4,todo
cap_000082,33,0,4,todo
cap_000083,33,0,4,todo
cap_000084,34,0,3,todo
cap_000085,34,0,4,todo
cap_000086,35,0,4,todo
cap_000087,35,0,4,todo
cap_000088,35,0,4,todo
cap_000089,36,0,4,todo
cap_000090,36,0,4,todo
cap_000091,36,0,4,todo
cap_000092,36,0,4,todo
cap_000093,36,0,4,todo
cap_000094,36,0,4,todo
cap_000095,37,0,4,todo
cap_000096,37,0,4,todo
cap_000097,37,0,4,todo
cap_000098,37,0,4,todo
cap_000099,38,0,4,todo
cap_000100,38,0,4,todo
cap_000101,38,0,4,todo
cap_000102,39,0,4,todo
cap_000103,39,0,4,todo
cap_000104,39,0,4,todo
cap_000105,39,0,4,todo
cap_000106,40,0,4,todo
cap_000107,40,0,4,todo
cap_000108,41,0,4,todo
cap_000109,41,0,4,todo
cap_000110,41,0,4,todo
cap_000111,41,0,3,todo
cap_000112,41,0,4,todo
cap_000113,41,0,4,todo
cap_000114,42,0,4,todo
cap_000115,42,0,3,todo
cap_000116,42,0,4,todo
cap_000117,43,0,4,todo
cap_000118,43,0,4,todo
cap_000119,43,0,4,todo
cap_000120,44,0,4,todo
cap_000121,44,0,4,todo
cap_000122,45,0,4,todo
cap_000123,46,0,4,todo
cap_000124,47,0,4,todo
cap_000125,48,0,4,todo
cap_000126,49,0,4,todo
cap_000127,50,0,4,todo
cap_000128,51,0,4,todo
cap_000129,52,0,4,todo
cap_000130,52,0,4,todo
cap_000131,53,0,4,todo
cap_000132,54,0,4,todo
cap_000133,55,0,4,todo
cap_000134,56,0,4,todo
cap_000135,56,0,3,todo
cap_000136,57,0,4,todo
cap_000137,57,0,4,todo
cap_000138,58,0,4,todo
cap_000139,59,0,4,todo
cap_000140,60,0,4,todo
cap_000141,61,0,4,todo
cap_000142,62,0,4,todo
cap_000143,63,0,4,todo
cap_000144,63,0,4,todo
cap_000145,64,0,4,todo
cap_000146,65,0,4,todo
cap_000147,66,0,4,todo
cap_000148,67,0,4,todo
cap_000149,68,0,4,todo
cap_000150,69,0,4,todo
cap_000151,70,0,4,todo
cap_000152,71,0,4,todo
cap_000153,72,0,4,todo
cap_000154,72,0,4,todo
cap_000155,73,0,4,todo
cap_000156,73,0,5,todo
cap_000157,74,0,5,todo
cap_000158,74,0,4,todo
cap_000159,75,0,4,todo
cap_000160,75,0,5,todo
cap_000161,76,0,4,todo
cap_000162,76,0,4,todo
cap_000163,77,0,4,todo
cap_000164,77,0,5,todo
cap_000165,78,0,4,todo
cap_000166,78,0,3,todo
cap_000167,79,0,5,todo
cap_000168,80,0,4,todo
cap_000169,81,0,4,todo
cap_000170,82,0,4,todo
cap_000171,83,0,4,todo
cap_000172,84,0,4,todo
cap_000173,85,0,5,todo
cap_000174,85,0,4,todo
cap_000175,86,0,4,todo
cap_000176,86,0,4,todo
cap_000177,86,0,4,todo
cap_000178,87,0,4,todo
cap_000179,87,0,3,todo
cap_000180,88,0,4,todo
cap_000181,89,0,4,todo
cap_000182,89,0,5,todo
cap_000183,90,0,4,todo
cap_000184,91,0,4,todo
cap_000185,91,0,4,todo
cap_000186,91,0,4,todo
cap_000187,92,0,4,todo
cap_000188,92,0,4,todo
cap_000189,93,0,4,todo
cap_000190,93,0,4,todo
cap_000191,94,0,4,todo
cap_000192,94,0,4,todo
cap_000193,95,0,4,todo
cap_000194,95,0,4,todo
cap_000195,96,0,4,todo
cap_000196,96,0,5,todo
cap_000197,97,0,5,todo
cap_000198,97,0,4,todo
cap_000199,98,0,5,todo
cap_000200,99,0,5,todo
cap_000201,100,0,5,todo
cap_000202,101,0,4,todo
cap_000203,102,0,3,todo
cap_000204,103,0,4,todo
cap_000205,103,0,4,todo
cap_000206,104,0,4,todo
cap_000207,104,0,4,todo
cap_000208,105,0,4,todo
cap_000209,106,0,4,todo
cap_000210,107,0,4,todo
cap_000211,108,0,4,todo
cap_000212,108,0,4,todo
cap_000213,109,0,5,todo
cap_000214,110,0,4,todo
cap_000215,111,0,4,todo
cap_000216,112,0,4,todo
cap_000217,113,0,4,todo
cap_000218,114,0,4,todo
cap_000219,115,0,4,todo
cap_000220,116,0,4,todo
cap_000221,117,0,3,todo
cap_000222,118,0,4,todo
cap_000223,119,0,4,todo
cap_000224,120,0,3,todo
cap_000225,121,0,4,todo
cap_000226,122,0,4,todo
cap_000227,123,0,4,todo
cap_000228,124,0,4,todo
cap_000229,125,0,4,todo
cap_000230,125,0,4,todo
cap_000231,126,0,4,todo
cap_000232,126,0,4,todo
cap_000233,126,0,4,todo
cap_000234,126,0,4,todo
cap_000235,126,0,4,todo
cap_000236,127,0,4,todo
cap_000237,127,0,4,todo
cap_000238,128,0,4,todo
cap_000239,128,0,4,todo
cap_000240,129,0,4,todo
cap_000241,130,0,4,todo
cap_000242,131,0,4,todo
cap_000243,132,0,4,todo
cap_000244,133,0,4,todo
cap_000245,134,0,4,todo
cap_000246,135,0,4,todo
cap_000247,136,0,4,todo
cap_000248,136,0,5,todo
cap_000249,137,0,4,todo
cap_000250,138,0,4,todo
cap_000251,139,0,4,todo
cap_000252,140,0,4,todo
cap_000253,141,0,4,todo
cap_000254,142,0,4,todo
cap_000255,143,0,4,todo
cap_000256,144,0,4,todo
cap_000257,145,0,4,todo
cap_000258,145,0,4,todo
cap_000259,146,0,4,todo
