file,cluster,n_person,n_omega,status
cap_000000,0,1,1,ok
cap_000001,0,1,1,ok
cap_000002,0,1,1,ok
cap_000003,0,1,1,ok
cap_000004,1,1,1,ok
cap_000005,2,1,1,ok
cap_000006,2,1,1,ok
cap_000007,2,1,1,ok
cap_000008,2,1,1,ok
cap_000009,2,1,1,ok
cap_000010,3,1,1,ok
cap_000011,3,1,1,ok
cap_000012,3,1,1,ok
cap_000013,3,1,1,ok
cap_000014,3,1,1,ok
cap_000015,4,1,1,ok
cap_000016,4,1,1,ok
cap_000017,4,1,1,ok
cap_000018,4,1,1,ok
cap_000019,4,1,1,ok
cap_000020,4,1,1,ok
cap_000021,5,1,1,ok
cap_000022,5,1,1,ok
cap_000023,5,1,1,ok
cap_000024,5,1,1,ok
cap_000025,5,1,1,ok
cap_000026,5,1,1,ok
cap_000027,5,1,1,ok
cap_000028,6,1,1,ok
cap_000029,6,1,1,ok
cap_000030,6,1,1,ok
cap_000031,6,1,1,ok
cap_000032,6,1,1,ok
cap_000033,6,1,1,ok
cap_000034,7,1,1,ok
cap_000035,7,1,1,ok
cap_000036,8,0,0,todo
cap_000037,8,0,0,todo
cap_000038,8,1,1,ok
cap_000039,8,0,0,todo
cap_000040,9,0,0,todo
cap_000041,9,1,1,ok
cap_000042,10,1,0,ok
cap_000043,10,1,0,ok
cap_000044,10,1,0,ok
cap_000045,10,1,1,ok
cap_000046,10,1,1,ok
cap_000047,11,1,1,ok
cap_000048,11,1,0,ok
cap_000049,11,1,1,ok
cap_000050,11,2,2,ok
cap_000051,11,1,0,ok
cap_000052,12,0,0,todo
cap_000053,12,1,0,ok
cap_000054,13,1,0,ok
cap_000055,13,1,0,ok
cap_000056,13,1,0,ok
cap_000057,13,1,0,ok
cap_000058,14,1,0,ok
cap_000059,14,1,0,ok
cap_000060,14,0,0,todo
cap_000061,14,1,0,ok
cap_000062,14,1,0,ok
cap_000063,14,0,0,todo
cap_000064,14,0,0,todo
cap_000065,15,0,0,todo
cap_000066,15,0,0,todo
cap_000067,15,1,0,ok
cap_000068,16,0,0,todo
cap_000069,17,0,0,todo
cap_000070,17,0,0,todo
cap_000071,18,0,0,todo
cap_000072,18,0,0,todo
cap_000073,18,0,0,todo
