file,cluster,score,why,decision
cap_000000,0,-1.0000,MISS: 176px blob unboxed,approve
cap_000007,1,-1.0000,MISS: 175px blob unboxed,approve
cap_000016,2,-1.0000,MISS: 179px blob unboxed,approve
cap_000021,3,-1.0000,MISS: 172px blob unboxed,approve
cap_000027,4,-1.0000,MISS: 181px blob unboxed,approve
cap_000036,5,-1.0000,MISS: 174px blob unboxed,approve
cap_000039,6,-1.0000,MISS: 174px blob unboxed,approve
cap_000042,7,-1.0000,MISS: 176px blob unboxed,approve
cap_000046,8,-1.0000,MISS: 169px blob unboxed,approve
cap_000052,9,-1.0000,MISS: 173px blob unboxed,approve
cap_000054,10,-1.0000,MISS: 176px blob unboxed,approve
cap_000055,11,-1.0000,MISS: 172px blob unboxed,approve
cap_000056,12,-1.0000,MISS: 170px blob unboxed,approve
cap_000057,13,-1.0000,MISS: 170px blob unboxed,approve
cap_000058,14,-1.0000,MISS: 172px blob unboxed,approve
cap_000060,15,-1.0000,MISS: 167px blob unboxed,approve
cap_000061,16,-1.0000,MISS: 163px blob unboxed,approve
cap_000063,17,-1.0000,MISS: 165px blob unboxed,approve
cap_000064,18,-1.0000,MISS: 168px blob unboxed,approve
cap_000065,19,-1.0000,MISS: 167px blob unboxed,approve
cap_000066,20,-1.0000,MISS: 168px blob unboxed,approve
cap_000067,21,-1.0000,MISS: 164px blob unboxed,approve
cap_000068,22,-1.0000,MISS: 162px blob unboxed,approve
cap_000069,23,-1.0000,MISS: 164px blob unboxed,approve
cap_000070,24,-1.0000,MISS: 167px blob unboxed,approve
cap_000071,25,-1.0000,MISS: 164px blob unboxed,approve
cap_000072,26,-1.0000,MISS: 163px blob unboxed,approve
cap_000073,27,-1.0000,MISS: 166px blob unboxed,approve
cap_000074,28,-1.0000,MISS: 166px blob unboxed,approve
cap_000077,29,-1.0000,MISS: 167px blob unboxed,approve
cap_000079,30,-1.0000,MISS: 175px blob unboxed,approve
cap_000081,31,-1.0000,MISS: 175px blob unboxed,approve
cap_000082,32,-1.0000,MISS: 170px blob unboxed,approve
cap_000084,33,-1.0000,MISS: 174px blob unboxed,approve
cap_000086,34,-1.0000,MISS: 158px blob unboxed,approve
cap_000089,35,-1.0000,MISS: 174px blob unboxed,approve
cap_000095,36,-1.0000,MISS: 174px blob unboxed,approve
cap_000099,37,-1.0000,MISS: 169px blob unboxed,approve
cap_000102,38,-1.0000,MISS: 168px blob unboxed,approve
cap_000106,39,-1.0000,MISS: 176px blob unboxed,approve
cap_000108,40,-1.0000,MISS: 176px blob unboxed,approve
cap_000114,41,-1.0000,MISS: 174px blob unboxed,approve
cap_000117,42,-1.0000,MISS: 167px blob unboxed,approve
cap_000120,43,-1.0000,MISS: 169px blob unboxed,approve
cap_000122,44,-1.0000,MISS: 169px blob unboxed,approve
cap_000123,45,-1.0000,MISS: 169px blob unboxed,approve
