file,cluster,score,why,decision
cap_000000,0,-1.0000,MISS: 176px blob unboxed,approve
cap_000001,0,-1.0000,MISS: 175px blob unboxed,approve
cap_000002,0,-1.0000,MISS: 175px blob unboxed,approve
cap_000003,0,-1.0000,MISS: 176px blob unboxed,approve
cap_000004,0,-1.0000,MISS: 178px blob unboxed,approve
cap_000005,0,-1.0000,MISS: 177px blob unboxed,approve
cap_000006,0,-1.0000,MISS: 178px blob unboxed,approve
cap_000007,1,-1.0000,MISS: 175px blob unboxed,approve
cap_000008,1,-1.0000,MISS: 175px blob unboxed,approve
cap_000009,1,-1.0000,MISS: 178px blob unboxed,approve
cap_000010,1,-1.0000,MISS: 180px blob unboxed,approve
cap_000011,1,-1.0000,MISS: 180px blob unboxed,approve
cap_000012,1,-1.0000,MISS: 179px blob unboxed,approve
cap_000013,1,-1.0000,MISS: 179px blob unboxed,approve
cap_000014,1,-1.0000,MISS: 178px blob unboxed,approve
cap_000015,1,-1.0000,MISS: 179px blob unboxed,approve
cap_000016,2,-1.0000,MISS: 179px blob unboxed,approve
cap_000017,2,-1.0000,MISS: 179px blob unboxed,approve
cap_000018,2,-1.0000,MISS: 179px blob unboxed,approve
cap_000019,2,-1.0000,MISS: 176px blob unboxed,approve
cap_000020,2,-1.0000,MISS: 177px blob unboxed,approve
cap_000021,3,-1.0000,MISS: 172px blob unboxed,approve
cap_000022,3,-1.0000,MISS: 171px blob unboxed,approve
cap_000023,3,-1.0000,MISS: 171px blob unboxed,approve
cap_000024,3,-1.0000,MISS: 171px blob unboxed,approve
cap_000025,3,-1.0000,MISS: 173px blob unboxed,approve
cap_000026,3,-1.0000,MISS: 173px blob unboxed,approve
cap_000027,4,-1.0000,MISS: 181px blob unboxed,approve
cap_000028,4,-1.0000,MISS: 180px blob unboxed,approve
cap_000029,4,-1.0000,MISS: 180px blob unboxed,approve
cap_000030,4,-1.0000,MISS: 180px blob unboxed,approve
cap_000031,4,-1.0000,MISS: 179px blob unboxed,approve
cap_000032,4,-1.0000,MISS: 178px blob unboxed,approve
cap_000033,4,-1.0000,MISS: 173px blob unboxed,approve
cap_000034,4,-1.0000,MISS: 173px blob unboxed,approve
cap_000035,4,-1.0000,MISS: 173px blob unboxed,approve
cap_000036,5,-1.0000,MISS: 174px blob unboxed,approve
cap_000037,5,-1.0000,MISS: 173px blob unboxed,approve
cap_000038,5,-1.0000,MISS: 175px blob unboxed,approve
cap_000039,6,-1.0000,MISS: 174px blob unboxed,delete
cap_000040,6,-1.0000,MISS: 175px blob unboxed,delete
cap_000041,6,-1.0000,MISS: 174px blob unboxed,delete
cap_000042,7,-1.0000,MISS: 176px blob unboxed,approve
cap_000043,7,-1.0000,MISS: 172px blob unboxed,approve
cap_000044,7,-1.0000,MISS: 173px blob unboxed,delete
cap_000045,7,-1.0000,MISS: 173px blob unboxed,delete
cap_000046,8,-1.0000,MISS: 169px blob unboxed,approve
cap_000047,8,-1.0000,MISS: 170px blob unboxed,delete
cap_000048,8,-1.0000,MISS: 170px blob unboxed,delete
cap_000049,8,-1.0000,MISS: 171px blob unboxed,delete
cap_000050,8,-1.0000,MISS: 172px blob unboxed,delete
cap_000051,8,-1.0000,MISS: 170px blob unboxed,delete
cap_000052,9,-1.0000,MISS: 173px blob unboxed,approve
cap_000053,9,-1.0000,MISS: 174px blob unboxed,approve
cap_000054,10,-1.0000,MISS: 176px blob unboxed,approve
cap_000055,11,-1.0000,MISS: 172px blob unboxed,approve
cap_000056,12,-1.0000,MISS: 170px blob unboxed,approve
cap_000057,13,-1.0000,MISS: 170px blob unboxed,approve
cap_000058,14,-1.0000,MISS: 172px blob unboxed,approve
cap_000059,14,-1.0000,MISS: 170px blob unboxed,approve
cap_000060,15,-1.0000,MISS: 167px blob unboxed,delete
cap_000061,16,-1.0000,MISS: 163px blob unboxed,approve
cap_000062,16,-1.0000,MISS: 168px blob unboxed,approve
cap_000063,17,-1.0000,MISS: 165px blob unboxed,approve
cap_000064,18,-1.0000,MISS: 168px blob unboxed,approve
cap_000065,19,-1.0000,MISS: 167px blob unboxed,approve
cap_000066,20,-1.0000,MISS: 168px blob unboxed,approve
cap_000067,21,-1.0000,MISS: 164px blob unboxed,approve
cap_000068,22,-1.0000,MISS: 162px blob unboxed,approve
cap_000069,23,-1.0000,MISS: 164px blob unboxed,approve
cap_000070,24,-1.0000,MISS: 167px blob unboxed,approve
cap_000071,25,-1.0000,MISS: 164px blob unboxed,approve
cap_000072,26,-1.0000,MISS: 163px blob unboxed,approve
cap_000073,27,-1.0000,MISS: 166px blob unboxed,approve
cap_000074,28,-1.0000,MISS: 166px blob unboxed,approve
cap_000075,28,-1.0000,MISS: 164px blob unboxed,approve
cap_000076,28,-1.0000,MISS: 167px blob unboxed,approve
cap_000077,29,-1.0000,MISS: 167px blob unboxed,approve
cap_000078,29,-1.0000,MISS: 172px blob unboxed,approve
cap_000079,30,-1.0000,MISS: 175px blob unboxed,approve
cap_000080,30,-1.0000,MISS: 170px blob unboxed,approve
cap_000081,31,-1.0000,MISS: 175px blob unboxed,approve
cap_000082,32,-1.0000,MISS: 170px blob unboxed,approve
cap_000083,32,-1.0000,MISS: 169px blob unboxed,approve
cap_000084,33,-1.0000,MISS: 174px blob unboxed,delete
cap_000085,33,-1.0000,MISS: 175px blob unboxed,delete
cap_000086,34,-1.0000,MISS: 158px blob unboxed,approve
cap_000087,34,-1.0000,MISS: 161px blob unboxed,approve
cap_000088,34,-1.0000,MISS: 169px blob unboxed,approve
cap_000089,35,-1.0000,MISS: 174px blob unboxed,approve
cap_000090,35,-1.0000,MISS: 171px blob unboxed,approve
cap_000091,35,-1.0000,MISS: 174px blob unboxed,approve
cap_000092,35,-1.0000,MISS: 177px blob unboxed,approve
cap_000093,35,-1.0000,MISS: 170px blob unboxed,approve
cap_000094,35,-1.0000,MISS: 174px blob unboxed,approve
cap_000095,36,-1.0000,MISS: 174px blob unboxed,approve
cap_000096,36,-1.0000,MISS: 175px blob unboxed,approve
cap_000097,36,-1.0000,MISS: 174px blob unboxed,approve
cap_000098,36,-1.0000,MISS: 171px blob unboxed,approve
cap_000099,37,-1.0000,MISS: 169px blob unboxed,approve
cap_000100,37,-1.0000,MISS: 169px blob unboxed,approve
cap_000101,37,-1.0000,MISS: 168px blob unboxed,approve
cap_000102,38,-1.0000,MISS: 168px blob unboxed,approve
cap_000103,38,-1.0000,MISS: 167px blob unboxed,approve
cap_000104,38,-1.0000,MISS: 169px blob unboxed,approve
cap_000105,38,-1.0000,MISS: 169px blob unboxed,approve
cap_000106,39,-1.0000,MISS: 176px blob unboxed,approve
cap_000107,39,-1.0000,MISS: 176px blob unboxed,approve
cap_000108,40,-1.0000,MISS: 176px blob unboxed,approve
cap_000109,40,-1.0000,MISS: 176px blob unboxed,approve
cap_000110,40,-1.0000,MISS: 176px blob unboxed,approve
cap_000111,40,-1.0000,MISS: 171px blob unboxed,delete
cap_000112,40,-1.0000,MISS: 174px blob unboxed,approve
cap_000113,40,-1.0000,MISS: 174px blob unboxed,approve
cap_000114,41,-1.0000,MISS: 174px blob unboxed,approve
cap_000115,41,-1.0000,MISS: 170px blob unboxed,approve
cap_000116,41,-1.0000,MISS: 168px blob unboxed,approve
cap_000117,42,-1.0000,MISS: 167px blob unboxed,approve
cap_000118,42,-1.0000,MISS: 170px blob unboxed,approve
cap_000119,42,-1.0000,MISS: 169px blob unboxed,approve
cap_000120,43,-1.0000,MISS: 169px blob unboxed,approve
cap_000121,43,-1.0000,MISS: 169px blob unboxed,approve
cap_000122,44,-1.0000,MISS: 169px blob unboxed,approve
cap_000123,45,-1.0000,MISS: 169px blob unboxed,approve
cap_000124,46,-1.0000,MISS: 171px blob unboxed,approve
cap_000125,47,-1.0000,MISS: 171px blob unboxed,approve
cap_000126,48,-1.0000,MISS: 171px blob unboxed,approve
cap_000127,49,-1.0000,MISS: 172px blob unboxed,approve
cap_000128,50,-1.0000,MISS: 172px blob unboxed,approve
cap_000129,51,-1.0000,MISS: 171px blob unboxed,approve
cap_000130,51,-1.0000,MISS: 169px blob unboxed,approve
cap_000131,52,-1.0000,MISS: 171px blob unboxed,approve
cap_000132,53,-1.0000,MISS: 178px blob unboxed,approve
cap_000133,54,-1.0000,MISS: 171px blob unboxed,approve
cap_000134,55,-1.0000,MISS: 180px blob unboxed,approve
cap_000135,55,-1.0000,MISS: 180px blob unboxed,delete
cap_000136,56,-1.0000,MISS: 180px blob unboxed,approve
cap_000137,56,-1.0000,MISS: 176px blob unboxed,approve
cap_000138,57,-1.0000,MISS: 175px blob unboxed,approve
cap_000139,58,-1.0000,MISS: 175px blob unboxed,approve
cap_000140,59,-1.0000,MISS: 170px blob unboxed,approve
cap_000141,60,-1.0000,MISS: 165px blob unboxed,approve
cap_000142,61,-1.0000,MISS: 159px blob unboxed,approve
cap_000143,62,-1.0000,MISS: 163px blob unboxed,approve
cap_000144,62,-1.0000,MISS: 162px blob unboxed,approve
cap_000145,63,-1.0000,MISS: 161px blob unboxed,approve
cap_000146,64,-1.0000,MISS: 160px blob unboxed,approve
cap_000147,65,-1.0000,MISS: 163px blob unboxed,approve
cap_000148,66,-1.0000,MISS: 164px blob unboxed,approve
cap_000149,67,-1.0000,MISS: 163px blob unboxed,approve
cap_000150,68,-1.0000,MISS: 165px blob unboxed,approve
cap_000151,69,-1.0000,MISS: 166px blob unboxed,approve
cap_000152,70,-1.0000,MISS: 164px blob unboxed,approve
cap_000153,71,-1.0000,MISS: 163px blob unboxed,approve
cap_000154,71,-1.0000,MISS: 165px blob unboxed,approve
cap_000155,72,-1.0000,MISS: 162px blob unboxed,approve
cap_000156,72,-1.0000,MISS: 162px blob unboxed,approve
cap_000157,73,-1.0000,MISS: 156px blob unboxed,delete
cap_000158,73,-1.0000,MISS: 163px blob unboxed,delete
cap_000159,74,-1.0000,MISS: 174px blob unboxed,approve
cap_000160,74,-1.0000,MISS: 173px blob unboxed,approve
cap_000161,75,-1.0000,MISS: 171px blob unboxed,approve
cap_000162,75,-1.0000,MISS: 173px blob unboxed,approve
cap_000163,76,-1.0000,MISS: 172px blob unboxed,approve
cap_000164,76,-1.0000,MISS: 169px blob unboxed,approve
cap_000165,77,-1.0000,MISS: 168px blob unboxed,approve
cap_000166,77,-1.0000,MISS: 158px blob unboxed,delete
cap_000167,78,-1.0000,MISS: 161px blob unboxed,approve
cap_000168,79,-1.0000,MISS: 171px blob unboxed,approve
cap_000169,80,-1.0000,MISS: 164px blob unboxed,approve
cap_000170,81,-1.0000,MISS: 175px blob unboxed,approve
cap_000171,82,-1.0000,MISS: 174px blob unboxed,approve
cap_000172,83,-1.0000,MISS: 174px blob unboxed,approve
cap_000173,84,-1.0000,MISS: 171px blob unboxed,delete
cap_000174,84,-1.0000,MISS: 175px blob unboxed,delete
cap_000175,85,-1.0000,MISS: 175px blob unboxed,approve
cap_000176,85,-1.0000,MISS: 174px blob unboxed,approve
cap_000177,85,-1.0000,MISS: 172px blob unboxed,approve
cap_000178,86,-1.0000,MISS: 174px blob unboxed,approve
cap_000179,86,-1.0000,MISS: 174px blob unboxed,approve
cap_000180,87,-1.0000,MISS: 174px blob unboxed,approve
cap_000181,88,-1.0000,MISS: 172px blob unboxed,approve
cap_000182,88,-1.0000,MISS: 175px blob unboxed,approve
cap_000183,89,-1.0000,MISS: 173px blob unboxed,approve
cap_000184,90,-1.0000,MISS: 173px blob unboxed,approve
cap_000185,90,-1.0000,MISS: 167px blob unboxed,approve
cap_000186,90,-1.0000,MISS: 166px blob unboxed,approve
cap_000187,91,-1.0000,MISS: 170px blob unboxed,approve
cap_000188,91,-1.0000,MISS: 166px blob unboxed,approve
cap_000189,92,-1.0000,MISS: 166px blob unboxed,approve
cap_000190,92,-1.0000,MISS: 169px blob unboxed,approve
cap_000191,93,-1.0000,MISS: 164px blob unboxed,approve
cap_000192,93,-1.0000,MISS: 175px blob unboxed,approve
cap_000193,94,-1.0000,MISS: 173px blob unboxed,approve
cap_000194,94,-1.0000,MISS: 174px blob unboxed,approve
cap_000195,95,-1.0000,MISS: 174px blob unboxed,approve
cap_000196,95,-1.0000,MISS: 168px blob unboxed,approve
cap_000197,96,-1.0000,MISS: 176px blob unboxed,delete
cap_000198,96,-1.0000,MISS: 174px blob unboxed,delete
cap_000199,97,-1.0000,MISS: 174px blob unboxed,delete
cap_000200,98,-1.0000,MISS: 174px blob unboxed,approve
cap_000201,99,-1.0000,MISS: 171px blob unboxed,approve
